SongName,SongId,Difficulty,Score,Perfect,Perfect+,Far,Lost,Constant,PlayRating
Grievous Lady,grievouslady,Future,9994503,1449,1400,0,1,11.3,13.272515
Fracture Ray,fractureray,Future,9981664,1276,1211,1,2,11.3,13.20832
Arghena,arghena,Future,9973690,1439,1391,2,3,11.3,13.16845
Tempestissimo,tempestissimo,Beyond,9929949,1522,1378,14,4,11.5,13.149745
SAIKYO STRONGER,saikyostronger,Future,9997721,1383,1334,1,0,11,12.988605
Testify,testify,Beyond,9783613,2152,1984,41,28,12,12.945377
Abstruse Dilemma,abstrusedilemma,Future,9967269,1458,1353,8,1,11.1,12.936345
World Ender,worldender,Beyond,9944338,1647,1533,9,5,11.2,12.92169
Dantalion,dantalion,Future,10001414,1476,1414,0,0,10.9,12.9
Misdeed -la bonte de Dieu et l'origine du mal-,gou,Future,10001470,1522,1470,0,0,10.9,12.9
Einherjar Joker,einherjar,Beyond,10001815,1857,1815,0,0,10.9,12.9
BUCHiGiRE Berserker,buchigireberserker,Future,9997813,1411,1355,1,0,10.9,12.889065
CHAOS,chaos,Future,9994014,1368,1319,0,1,10.9,12.87007
TEmPTaTiON,temptation,Future,9991958,1098,1058,0,1,10.9,12.85979
LAMIA,lamia,Future,9986898,1383,1339,0,2,10.9,12.83449
World Vanquisher,worldvanquisher,Future,10001432,1452,1432,0,0,10.8,12.8
Ringed Genesis,ringedgenesis,Future,10001114,1146,1114,0,0,10.8,12.8
Heavensdoor,heavensdoor,Beyond,10001478,1534,1478,0,0,10.8,12.8
Spider's Thread,spidersthread,Future,10001170,1203,1170,0,0,10.8,12.8
II,ii,Future,10001019,1051,1019,0,0,10.8,12.8
Aegleseeker,aegleseeker,Future,9937644,1551,1420,14,3,11.1,12.78822
#1f1e33,ifi,Future,9972926,1569,1480,5,2,10.9,12.76463
TeraVolt,teravolt,Future,9971150,1002,912,6,0,10.9,12.75575
AMAZING MIGHTYYYY!!!!,amazingmightyyyy,Future,10001214,1249,1214,0,0,10.7,12.7
Cyaegha,cyaegha,Future,10001351,1368,1351,0,0,10.7,12.7
Axium Crisis,axiumcrisis,Future,10001064,1094,1064,0,0,10.7,12.7
Halcyon,halcyon,Future,10001211,1227,1211,0,0,10.7,12.7
ouroboros -twin stroke of the end-,ouroboros,Future,10001332,1369,1332,0,0,10.7,12.7
PRIMITIVE LIGHTS,primitivelights,Future,10001474,1524,1474,0,0,10.7,12.7
Singularity,singularity,Future,10001081,1105,1081,0,0,10.7,12.7
Stasis,stasis,Future,10001500,1521,1500,0,0,10.7,12.7
KYOREN ROMANCE,kyorenromance,Future,10001497,1519,1497,0,0,10.7,12.7
Arcana Eden,arcanaeden,Beyond,9856702,2092,1970,22,20,11.4,12.68351
Divine Light of Myriad,divinelight,Future,9971536,1016,919,4,1,10.8,12.65768
Infinite Strife .,infinitestrife,Beyond,9949470,1619,1522,11,3,10.9,12.64735
REKKA RESONANCE,rekkaresonance,Future,9988793,1210,1170,1,1,10.7,12.643965
Testify,testify,Future,9967654,1758,1630,4,4,10.8,12.63827
PRAGMATISM -RESURRECTION-,pragmatism,Beyond,9924822,1485,1387,11,6,11,12.62411
Meta-Mysteria,metamysteria,Future,9963003,1302,1201,4,3,10.8,12.615015
AttraqtiA,attraqtia,Future,10001409,1433,1409,0,0,10.6,12.6
UNKNOWN LEVELS,unknownlevels,Future,10001125,1149,1125,0,0,10.6,12.6
Qovat,qovat,Future,10001285,1299,1285,0,0,10.6,12.6
Overwhelm,overwhelm,Future,10001234,1251,1234,0,0,10.6,12.6
Live Fast Die Young,livefastdieyoung,Future,10001279,1292,1279,0,0,10.6,12.6
GLORY : ROAD,gloryroad,Future,9998045,1478,1426,1,0,10.6,12.590225
Purple Verse,purpleverse,Beyond,9992855,1201,1175,0,1,10.6,12.564275
Seclusion,seclusion,Future,9992257,1130,1091,2,0,10.6,12.561285
Tempestissimo,tempestissimo,Future,9969284,1249,1182,2,3,10.7,12.54642
Good bye. Merry-Go-Round,goodbyemerry,Future,10001058,1084,1058,0,0,10.5,12.5
Last Celebration,lastcelebration,Future,10001431,1475,1431,0,0,10.5,12.5
